time_sec,bus_id,stop_idx,onboard,headway_min
26340.000000,2,8,2901,2.933333
26340.000000,3,8,2895,2.933333
26340.000000,4,8,2895,2.933333
26400.000000,0,8,2899,3.900000
26400.000000,1,8,2897,3.900000
26400.000000,2,8,2901,3.933333
26400.000000,3,8,2895,3.933333
26400.000000,4,8,2895,3.933333
26460.000000,0,8,2899,4.900000
26460.000000,1,8,2897,4.900000
26460.000000,2,8,2901,4.933333
26460.000000,3,8,2895,4.933333
26460.000000,4,8,2895,4.933333
26520.000000,0,9,2926,5.900000
26520.000000,1,9,2925,5.900000
26520.000000,2,9,2929,5.933333
26520.000000,3,9,2924,5.933333
26520.000000,4,9,2922,5.933333
26580.000000,0,9,2950,0.200000
26580.000000,1,9,2948,0.233333
26580.000000,2,9,2952,0.233333
26580.000000,3,9,2946,0.233333
26580.000000,4,9,2946,0.233333
26640.000000,0,9,2950,1.200000
26640.000000,1,9,2948,1.233333
26640.000000,2,9,2952,1.233333
26640.000000,3,9,2946,1.233333
26640.000000,4,9,2946,1.233333
26700.000000,0,9,2950,2.200000
26700.000000,1,9,2948,2.233333
26700.000000,2,9,2952,2.233333
26700.000000,3,9,2946,2.233333
26700.000000,4,9,2946,2.233333
26760.000000,0,9,2950,3.200000
26760.000000,1,9,2948,3.233333
26760.000000,2,9,2952,3.233333
26760.000000,3,9,2946,3.233333
26760.000000,4,9,2946,3.233333
26820.000000,0,9,2950,4.200000
26820.000000,1,9,2948,4.233333
26820.000000,2,9,2952,4.233333
26820.000000,3,9,2946,4.233333
